country,site_name,type,year
Protection Of The World,"properties inscribed:  cultural sites,  nat",Mixed,1992
Algeria,Al Qal'a of Beni Hammad,Mixed,1980
Algeria,M'Zab Valley,Cultural,1982
Algeria,Tipasa,Mixed,1982
Algeria,Kasbah of Algiers,Mixed,1992
Algeria,Iguazu National Park,Mixed,1984
Algeria,Península Valdés,Mixed,1999
Algeria,"Santa Ana, Nuestra Señora de Loreto and Santa Maria",Mixed,1983
Armenia,Monastery of Haghpat,Mixed,1996
Armenia,Great Barrier Reef,Natural,1981
Armenia,ral sites and  mixed sites in  States Parties,Mixed,1981
Armenia,Lord Howe Island Group,Mixed,1982
Armenia,Uluru-Kata Tjuta National Park,Mixed,1987
Armenia,"Shark Bay, Western Australia",Natural,1991
Armenia,Australian Fossil Mammal Sites (Riversleigh/,Mixed,1994
Armenia,Macquarie Island,Mixed,1997
Armenia,Palace and Gardens of Schönbrunn,Cultural,1996
Armenia,Semmering Railway,Cultural,1998
Bangladesh,Historic Mosque City of Bagerhat,Mixed,1985
Bangladesh,The Sundarbans,Mixed,1997
Belgium,Flemish Béguinages,Cultural,1998
Belgium,"Grand-Place, Brussels",Cultural,1998
Belize,Belize Barrier Reef Reserve System,Mixed,1996
Bolivia,City of Potosi,Cultural,1987
Bolivia,Historic City of Sucre,Cultural,1991
Brazil,Historic Town of Ouro Preto,Mixed,1980
Brazil,Historic Centre of Salvador de Bahia,Mixed,1985
Brazil,Iguaçu National Park,Mixed,1986
Brazil,Serra da Capivara National Park,Mixed,1991
Brazil,Historic Centre of the Town of Diamantina,Mixed,1999
Brazil,Atlantic Forest Southeast Reserves,Mixed,1999
Brazil,Madara Rider,Cultural,1979
Brazil,Rock-hewn Churches of Ivanovo,Mixed,1979
Brazil,Rila Monastery,Mixed,1983
Brazil,Pirin National Park,Mixed,1983
Cambodia,Angkor,Mixed,1992
Canada,L'Anse aux Meadows National Historic Park,Mixed,1978
Canada,Dinosaur Provincial Park,Mixed,1979
Canada,Head-Smashed-In Buffalo Jump Complex,Mixed,1981
Canada,Canadian Rocky Mountain Parks,Mixed,1984
Canada,Gros Morne National Park,Mixed,1987
Canada,Miguasha Park,Natural,1999
Canada,Tatshenshini-Alsek/Kluane National Park/Wrangell-St,Natural,1995
Canada,Waterton Glacier International Peace Park,Mixed,1995
Chile,Rapa Nui National Park,Mixed,1995
Chile,The Great Wall,Cultural,1987
Chile,Mogao Caves,Cultural,1987
Chile,Peking Man Site at Zhoukoudian,Mixed,1987
Chile,Jiuzhaigou Valley Scenic and Historic Interest Area,Mixed,1992
Chile,Wulingyuan Scenic and Historic Interest Area,Mixed,1992
Chile,"Temple and Cemetery of Confucius, and the Kong",Cultural,1994
Chile,"Potala Palace, Lhasa",Mixed,1994
Chile,"Mount Emei Scenic Area, including Leshan Giant",Mixed,1996
Chile,Ancient City of Ping Yao,Mixed,1997
Chile,"Summer Palace, an Imperial Garden in Beijing",Mixed,1998
Chile,Mount Wuyi,Mixed,1999
Colombia,"Port, Fortresses and Group of Monuments, Cartagena",Mixed,1984
Colombia,Historic Centre of Santa Cruz de Mompox,Mixed,1995
Colombia,San Agustín Archaeological Park,Mixed,1995
Colombia,Area de Conservación Guanacaste,Natural,1999
Colombia,National Park,Natural,1983
Colombia,Comoé National Park,Mixed,1983
Colombia,Historical Complex of Split with the Palace of Diocletian,Mixed,1979
Colombia,Episcopal Complex of the Euphrasian Basilica in the,Cultural,1997
Cuba,Old Havana and its Fortifications,Mixed,1982
Cuba,"San Pedro de la Roca Castle, Santiago de Cuba",Mixed,1997
Cuba,Desembarco del Granma National Park,Mixed,1999
Cuba,Painted Churches in the Troodos Region,Cultural,1985
Czech Republic,Historic Centre of Prague,Cultural,1992
Czech Republic,Historic Centre de Telc,Cultural,1992
Czech Republic,Kutná Hora: Historical Town Centre with the Church of,Cultural,1995
Czech Republic,Gardens and Castle at Kromeríz,Mixed,1998
Czech Republic,Litomyšl Castle,Mixed,1999
Czech Republic,Virunga National Park,Natural,1979
Czech Republic,Kahuzi-Biega National Park,Mixed,1980
Czech Republic,Okapi Wildlife Reserve,Mixed,1996
Czech Republic,Roskilde Cathedral,Mixed,1995
Dominican Republic,Colonial City of Santo Domingo,Mixed,1990
Dominican Republic,City of Quito,Mixed,1978
Dominican Republic,Historic Centre of Santa Ana de los Ríos de Cuenca,Cultural,1999
Dominican Republic,Giza to Dahshur,Cultural,1979
Dominican Republic,Nubian Monuments from Abu Simbel to Philae,Cultural,1979
Dominican Republic,Abu Mena,Cultural,1979
Estonia,Historic Centre (Old Town) of Tallinn,Mixed,1997
Estonia,"Rock-hewn Churches, Lalibela",Cultural,1978
Estonia,Lower Valley of the Awash,Cultural,1980
